Customer ID,recency,frequency,monetary,segment
12346,326,1,77183.6,hibernating
12347,3,7,4310.000000000001,champions
12348,76,4,1797.24,at_risk
12349,19,1,1757.5500000000002,promising
12350,311,1,334.40000000000003,hibernating
12352,37,8,2506.0400000000004,loyal_customers
12353,205,1,89.0,hibernating
12354,233,1,1079.3999999999999,hibernating
12355,215,1,459.4,hibernating
12356,23,3,2811.43,potential_loyalists
12357,34,1,6207.67,about_to_sleep
12358,2,2,1168.06,potential_loyalists
12359,58,4,6372.58,loyal_customers
12360,53,3,2662.06,need_attention
12361,288,1,189.89999999999998,hibernating
12362,4,10,5226.23,champions
12363,110,2,552.0,hibernating
12364,8,4,1313.1000000000001,champions
12365,292,2,641.3799999999999,hibernating
12367,5,1,168.89999999999998,new_customers
12370,52,4,3545.6899999999996,loyal_customers
12371,45,2,1887.96,about_to_sleep
12372,72,3,1298.0400000000002,need_attention
12373,312,1,364.6,hibernating
12374,26,1,742.93,promising
12375,11,2,457.5,potential_loyalists
12377,316,2,1628.12,hibernating
12378,130,1,4008.62,hibernating
12379,82,2,852.24,hibernating
12380,22,4,2724.8100000000004,loyal_customers
12381,5,5,1845.3100000000004,champions
12383,185,5,1850.5600000000002,at_risk
12384,29,2,585.2700000000001,potential_loyalists
12386,338,2,401.9,hibernating
12388,16,6,2780.6600000000003,loyal_customers
12390,80,1,549.84,hibernating
12391,22,1,460.89,promising
12393,73,4,1582.6000000000001,at_risk
12394,64,2,1272.48,about_to_sleep
12395,20,12,3018.63,loyal_customers
12397,36,2,2409.9000000000005,about_to_sleep
12398,46,1,1635.6599999999999,about_to_sleep
12399,120,4,1108.65,at_risk
12401,304,1,84.3,hibernating
12402,324,1,225.6,hibernating
12403,50,1,427.7,about_to_sleep
12405,149,1,1710.3900000000003,hibernating
12406,23,2,3415.3,potential_loyalists
12407,50,5,1708.1199999999997,loyal_customers
12408,33,5,2888.55,loyal_customers
12409,79,3,11072.67,at_risk
12410,309,2,693.3299999999999,hibernating
12412,75,3,1226.88,at_risk
12413,67,3,758.1,need_attention
12414,218,3,562.41,at_risk
12415,25,21,124914.53,loyal_customers
12417,4,9,3649.1000000000004,champions
12418,113,1,668.58,hibernating
12420,64,1,600.3900000000001,about_to_sleep
12421,16,4,807.0400000000001,loyal_customers
12422,96,3,803.5599999999998,at_risk
12423,1,8,1859.31,champions
12424,163,2,1760.9599999999996,hibernating
12425,79,1,777.1999999999999,hibernating
12426,195,1,582.73,hibernating
12427,22,3,825.8,potential_loyalists
12428,26,9,7956.46,loyal_customers
12429,10,4,3750.4,champions
12430,44,1,256.4,about_to_sleep
12431,36,15,6487.45,loyal_customers
12432,43,5,5059.319999999999,loyal_customers
12433,1,7,13375.87,champions
12434,85,2,806.14,hibernating
12435,80,2,7829.890000000001,hibernating
12436,100,1,509.01000000000005,hibernating
12437,2,18,4951.41,champions
12438,15,2,2906.8500000000004,potential_loyalists
12441,367,1,173.55,hibernating
12442,4,1,172.06,new_customers
12444,22,5,5005.46,loyal_customers
12445,23,1,133.4,promising
12446,58,1,1002.3100000000001,about_to_sleep
12447,244,1,476.49,hibernating
12448,45,1,449.4500000000001,about_to_sleep
12449,23,4,4067.2900000000004,loyal_customers
12450,157,2,197.88,hibernating
12451,11,5,9035.52,champions
12452,17,2,430.57,potential_loyalists
12453,135,1,707.0899999999999,hibernating
12454,57,1,3528.34,about_to_sleep
12455,74,6,2466.8599999999997,at_risk
12456,45,3,3181.04,need_attention
12457,67,7,2363.23,loyal_customers
12458,72,2,947.4,about_to_sleep
12461,95,2,826.88,hibernating
12462,19,2,1189.5900000000001,potential_loyalists
12463,54,4,1344.7800000000002,loyal_customers
12464,11,8,1212.05,champions
12465,18,2,742.19,potential_loyalists
12468,188,2,729.54,hibernating
12471,3,30,19824.05,champions
12472,33,7,6572.110000000001,loyal_customers
12473,30,5,3938.55,loyal_customers
12474,18,18,7375.79,loyal_customers
12475,54,1,723.3799999999999,about_to_sleep
12476,16,11,6816.42,loyal_customers
12477,23,6,13219.740000000002,loyal_customers
12478,4,1,680.9900000000001,new_customers
12479,12,1,527.2,new_customers
12480,29,4,3281.6299999999997,loyal_customers
12481,23,10,5596.32,loyal_customers
12483,18,8,2484.98,loyal_customers
12484,33,6,4541.719999999999,loyal_customers
12488,10,3,1298.6600000000003,potential_loyalists
12489,337,1,334.92999999999995,hibernating
12490,6,10,5417.93,champions
12491,39,1,460.40000000000003,about_to_sleep
12492,64,2,263.21,about_to_sleep
12493,166,2,433.74,hibernating
12494,16,7,1246.1,loyal_customers
12497,82,1,1043.1,hibernating
12498,22,3,403.7,potential_loyalists
12500,24,11,4257.820000000001,loyal_customers
12501,337,1,2169.3900000000003,hibernating
12502,96,5,3723.87,at_risk
12504,19,2,482.04999999999995,potential_loyalists
12506,233,1,73.50000000000001,hibernating
12507,135,3,1304.81,at_risk
12508,27,2,398.27,potential_loyalists
12509,285,1,176.5,hibernating
12510,143,2,982.5699999999999,hibernating
12512,67,2,138.03,about_to_sleep
12513,113,1,612.2900000000001,hibernating
12514,268,1,1017.6800000000001,hibernating
12515,354,1,383.70000000000005,hibernating
12516,78,2,1312.06,hibernating
12517,29,5,2502.84,loyal_customers
12518,1,5,2056.89,champions
12519,64,1,340.84000000000003,about_to_sleep
12520,80,5,2634.26,at_risk
12521,143,1,599.68,hibernating
12522,40,2,192.72000000000003,about_to_sleep
12523,20,11,1789.77,loyal_customers
12524,10,8,4485.719999999999,champions
12526,1,3,1316.6600000000003,potential_loyalists
12527,82,3,348.71000000000004,at_risk
12528,10,6,1933.4800000000002,champions
12530,60,4,1662.28,loyal_customers
12531,15,1,125.22,promising
12532,31,1,349.83000000000004,promising
12534,131,1,1089.18,hibernating
12535,92,2,716.35,hibernating
12536,44,3,12601.830000000002,need_attention
12538,30,1,363.95,promising
12539,23,4,5568.349999999999,loyal_customers
12540,20,17,13400.24,loyal_customers
12541,30,3,981.1800000000002,potential_loyalists
12544,37,1,372.70000000000005,about_to_sleep
12545,76,2,1000.39,hibernating
12546,47,2,1161.5,about_to_sleep
12547,198,2,207.8,hibernating
12548,167,1,95.19999999999999,hibernating
12550,80,1,964.83,hibernating
12551,358,1,168.0,hibernating
12552,39,2,437.82,about_to_sleep
12553,9,10,3692.2799999999997,champions
12556,51,2,603.7099999999999,about_to_sleep
12557,17,5,11990.96,loyal_customers
12558,8,1,269.96000000000004,new_customers
12559,311,2,561.7099999999999,hibernating
12560,6,3,2134.01,potential_loyalists
12561,303,1,238.85,hibernating
12562,9,7,3781.74,champions
12564,262,1,456.90000000000003,hibernating
12565,289,1,145.92000000000002,hibernating
12566,87,1,351.65,hibernating
12567,23,10,9401.279999999999,loyal_customers
12569,3,32,4124.6900000000005,champions
12571,40,2,519.61,about_to_sleep
12572,9,2,1020.42,potential_loyalists
12573,228,1,160.54,hibernating
12574,316,1,218.45000000000002,hibernating
12576,36,5,1315.83,loyal_customers
12577,36,3,657.8,need_attention
12578,22,2,2794.5099999999998,potential_loyalists
12579,79,1,440.41999999999996,hibernating
12580,247,1,415.70000000000005,hibernating
12581,40,1,197.70999999999998,about_to_sleep
12582,239,2,511.3599999999999,hibernating
12583,3,15,7281.379999999999,champions
12584,4,9,2338.1500000000005,champions
12585,235,2,2040.0999999999997,hibernating
12586,18,1,196.94000000000003,promising
12587,8,1,144.0,new_customers
12588,40,1,214.89999999999998,about_to_sleep
12589,29,2,646.6800000000001,potential_loyalists
12590,212,2,9864.26,hibernating
12591,318,1,452.84999999999997,hibernating
12592,93,2,437.6,hibernating
12593,109,3,418.0999999999999,at_risk
12594,38,10,3338.2200000000003,loyal_customers
12596,52,2,618.27,about_to_sleep
